describe,evaluate,introduce,movie_name,serial_number,star
死亡不是真的逝去，遗忘才是永恒的消亡。,1075180人评价,"
导演:李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina   主演:...
2017 / 美国 / 喜剧动画奇幻音乐
",寻梦环游记,30,9.1
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,518248人评价,"
导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...
1987 / 英国意大利中国大陆法国 / 剧情传记历史
",末代皇帝,31,9.2
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,1119353人评价,"
导演:涅提·蒂瓦里NiteshTiwari   主演:阿米尔·汗AamirKhan/法缇玛...
2016 / 印度 / 剧情传记运动家庭
",摔跤吧！爸爸,32,9.0
史诗的终章。,541812人评价,"
导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...
2003 / 美国新西兰 / 剧情动作奇幻冒险
",指环王3：王者无敌,33,9.2
凝视卑弱生命，用电影改变命运。,658099人评价,"
导演:娜丁·拉巴基NadineLabaki   主演:扎因·拉费阿Zainal-Rafeea/...
2018 / 黎巴嫩法国美国 / 剧情
",何以为家,34,9.1
瑰丽壮观、无人能及的冒险之旅。,1028237人评价,"
导演:李安AngLee   主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...
2012 / 美国中国台湾英国加拿大 / 剧情奇幻冒险
",少年派的奇幻漂流,35,9.1
最后那些最无聊的事情，才是最值得怀念的。 ,959882人评价,"
导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson   主演:爱德...
2009 / 美国 / 剧情喜剧动画冒险
",飞屋环游记,36,9.0
1957年的理想主义。 ,326003人评价,"
导演:SidneyLumet   主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...
1957 / 美国 / 剧情
",十二怒汉,37,9.4
对敌人的仁慈，就是对自己残忍。,442422人评价,"
导演:姜文WenJiang   主演:姜文WenJiang/香川照之TeruyukiKagawa/...
2000 / 中国大陆 / 剧情喜剧
",鬼子来了,38,9.2
对天空的追逐，永不停止。 ,609229人评价,"
导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/横泽启子Ke...
1986 / 日本 / 动画奇幻冒险
",天空之城,39,9.1
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,445606人评价,"
导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...
2013 / 韩国 / 剧情
",素媛,40,9.2
带着心爱的人在天空飞翔。,700860人评价,"
导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô/木村拓...
2004 / 日本 / 动画奇幻冒险
",哈尔的移动城堡,41,9.1
旷古烁今。,864990人评价,"
导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...
1995 / 中国香港中国大陆 / 喜剧爱情奇幻古装
",大话西游之月光宝盒,42,9.0
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,476491人评价,"
导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:安东内拉·阿蒂利Anton...
1988 / 意大利法国 / 剧情爱情
",天堂电影院,43,9.2
爱情哪怕只有一天。,703610人评价,"
导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn/格...
1953 / 美国 / 喜剧剧情爱情
",罗马假日,44,9.0
史上最美的探戈。,612027人评价,"
导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯...
1992 / 美国 / 剧情
",闻香识女人,45,9.1
电影的现实意义大过电影本身。,438200人评价,"
导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/金英爱Yeong-ae...
2013 / 韩国 / 剧情
",辩护人,46,9.2
童话世界的开端。,667019人评价,"
导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint
2001 / 美国英国 / 奇幻冒险
",哈利·波特与魔法石,47,9.0
对我们国家而言，这样的电影多一部是一部。,1498771人评价,"
导演:文牧野MuyeWen   主演:徐峥ZhengXu/王传君ChuanjunWang/周...
2018 / 中国大陆 / 剧情喜剧
",我不是药神,48,9.0
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,632518人评价,"
导演:大卫·芬奇DavidFincher   主演:爱德华·诺顿EdwardNorton/布拉...
1999 / 美国德国 / 剧情动作悬疑惊悚
",搏击俱乐部,49,9.0
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,500150人评价,"
导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams/罗伯...
1989 / 美国 / 剧情
",死亡诗社,50,9.1
优雅的孤独。,369694人评价,"
导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...
1974 / 美国 / 剧情犯罪
",教父2,51,9.2
承前启后的史诗篇章。,494958人评价,"
导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...
2002 / 美国新西兰 / 剧情动作奇幻冒险
",指环王2：双塔奇兵,52,9.1
动物版《哈姆雷特》。,574057人评价,"
导演:RogerAllers/罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马...
1994 / 美国 / 动画冒险歌舞
",狮子王,53,9.0
经典之作，历久弥新。,274407人评价,"
导演:万籁鸣LaimingWan/唐澄ChengTang   主演:邱岳峰YuefengQiu/...
1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆) / 中国大陆 / 动画奇幻
",大闹天宫,54,9.3
别样人生。,411270人评价,"
导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck  &n...
2006 / 德国 / 剧情悬疑
",窃听风暴,55,9.1
传说的开始。,557051人评价,"
导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...
2001 / 新西兰美国 / 剧情动作奇幻冒险
",指环王1：魔戒再现,56,9.0
骗子大师和执著警探的你追我跑故事。 ,572104人评价,"
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L...
2002 / 美国加拿大 / 传记犯罪剧情
",猫鼠游戏,57,9.0
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,439218人评价,"
导演:GuyRitchie   主演:JasonFlemyng/DexterFletcher/NickMoran
1998 / 英国 / 剧情喜剧犯罪
",两杆大烟枪,58,9.1
爱是一切逻辑和原由。,542363人评价,"
导演:朗·霍华德RonHoward   主演:罗素·克劳RussellCrowe/艾德·哈...
2001 / 美国 / 传记剧情
",美丽心灵,59,9.0
人生不能像做菜，把所有的料都准备好了才下锅。,405880人评价,"
导演:李安AngLee   主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...
1994 / 中国台湾美国 / 剧情家庭
",饮食男女,60,9.1
音乐能化解仇恨。,371173人评价,"
导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...
2002 / 法国德国英国波兰 / 剧情传记历史战争音乐
",钢琴家,61,9.2
视觉革命。,557122人评价,"
导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...
1999 / 美国澳大利亚 / 动作科幻
",黑客帝国,62,9.0
